% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
3.676	1	5	368	7	4	28	4587
3.676	1	4	368	7	13	28	4587
3.677	1	5	368	8	4	28	9422
3.678	1	5	368	9	4	28	9422
3.679	1	5	368	10	4	28	9422
3.68	1	12	369	1	14	28	9422
3.681	1	12	369	2	14	28	9422
3.682	1	12	369	3	14	28	9422
3.683	1	2	369	4	7	28	9422
3.684	1	2	369	5	7	28	9422
3.685	1	2	369	6	7	28	9422
3.686	1	15	369	7	5	28	9422
3.687	1	15	369	8	5	28	9422
3.688	1	15	369	9	5	28	9422
3.689	1	14	369	10	15	28	9422
3.69	1	14	370	1	15	28	9422
3.691	1	14	370	2	15	28	9422
3.692	1	1	370	3	10	28	9422
3.693	1	1	370	4	10	28	9422
3.694	1	1	370	5	10	28	9422
3.695	1	7	370	6	1	28	9422
3.696	1	7	370	7	1	28	9422
3.697	1	7	370	8	1	28	9422
3.698	1	8	370	9	11	28	9422
3.699	1	8	370	10	11	28	9422
3.7	1	9	371	1	6	28	4587
3.7	1	8	371	1	11	28	4587
3.701	1	9	371	2	6	28	9422
3.702	1	9	371	3	6	28	9422
3.703	1	3	371	4	2	28	4587
3.703	1	9	371	4	6	28	4587
3.704	1	3	371	5	2	28	9422
3.705	1	3	371	6	2	28	9422
3.706	1	3	371	7	2	28	9422
3.707	1	3	371	8	2	28	9422
3.708	1	3	371	9	2	28	9422
3.709	1	3	371	10	2	28	9422
3.71	1	10	372	1	8	28	9422
3.711	1	10	372	2	8	28	9422
3.712	1	10	372	3	8	28	9422
3.713	1	10	372	4	8	28	9422
3.714	1	10	372	5	8	28	9422
3.715	1	10	372	6	8	28	9422
3.716	1	2	372	7	7	28	9422
3.717	1	2	372	8	7	28	9422
3.718	1	2	372	9	7	28	9422
3.719	1	2	372	10	7	28	9422
3.72	1	2	373	1	7	28	9422
3.721	1	2	373	2	7	28	9422
3.722	1	12	373	3	14	28	9422
3.723	1	12	373	4	14	28	9422
3.724	1	12	373	5	14	28	9422
3.725	1	12	373	6	14	28	9422
3.726	1	12	373	7	14	28	9422
3.727	1	12	373	8	14	28	9422
3.728	1	5	373	9	4	28	9422
3.729	1	5	373	10	4	28	9422
3.73	1	5	374	1	4	28	9422
3.731	1	5	374	2	4	28	9422
3.732	1	5	374	3	4	28	9422
3.733	1	14	374	4	15	28	4587
3.733	1	5	374	4	4	28	4587
3.734	1	14	374	5	15	28	9422
3.735	1	14	374	6	15	28	9422
3.736	1	14	374	7	15	28	9422
3.737	1	14	374	8	15	28	9422
3.738	1	14	374	9	15	28	9422
3.739	1	14	374	10	15	28	9422
3.74	1	4	375	1	13	28	9422
3.741	1	4	375	2	13	28	9422
3.742	1	4	375	3	13	28	9422
3.743	1	4	375	4	13	28	9422
3.744	1	4	375	5	13	28	9422
3.745	1	4	375	6	13	28	9422
3.746	1	15	375	7	5	28	9422
3.747	1	15	375	8	5	28	9422
3.748	1	15	375	9	5	28	9422
3.749	1	15	375	10	5	28	9422
3.75	1	15	376	1	5	28	9422
3.751	1	15	376	2	5	28	9422
3.752	1	1	376	3	10	28	9422
3.753	1	1	376	4	10	28	9422
3.754	1	1	376	5	10	28	9422
3.755	1	1	376	6	10	28	9422
3.756	1	1	376	7	10	28	9422
3.757	1	1	376	8	10	28	9422
3.758	1	7	376	9	1	28	9422
3.759	1	7	376	10	1	28	9422
3.76	1	7	377	1	1	28	9422
3.761	1	7	377	2	1	28	9422
3.762	1	7	377	3	1	28	9422
3.763	1	7	377	4	1	28	9422
3.764	1	8	377	5	11	28	9422
3.765	1	8	377	6	11	28	9422
3.766	1	8	377	7	11	28	9422
3.767	1	8	377	8	11	28	9422
3.768	1	8	377	9	11	28	9422
3.769	1	8	377	10	11	28	9422
3.77	1	9	378	1	6	28	9422
3.771	1	9	378	2	6	28	9422
3.772	1	9	378	3	6	28	9422
3.773	1	9	378	4	6	28	9422
3.774	1	9	378	5	6	28	9422
3.775	1	9	378	6	6	28	9422
3.776	1	11	378	7	12	28	9422
3.777	1	11	378	8	12	28	9422
3.804	1	6	381	5	9	28	9422
3.805	1	13	381	6	3	28	9422
3.818	1	6	382	9	9	28	9422
3.819	1	13	382	10	3	28	4587
3.819	1	6	382	10	9	28	4587
3.82	1	13	383	1	3	28	9422
3.874	1	3	388	5	2	28	9422
3.875	1	3	388	6	2	28	9422
3.876	1	3	388	7	2	28	9422
3.877	1	3	388	8	2	28	9422
3.878	1	10	388	9	8	28	4587
3.878	1	3	388	9	2	28	4587
3.879	1	10	388	10	8	28	9422
3.88	1	10	389	1	8	28	9422
3.881	1	10	389	2	8	28	9422
3.882	1	10	389	3	8	28	9422
3.883	1	11	389	4	12	28	9422
3.884	1	11	389	5	12	28	9422
3.885	1	11	389	6	12	28	9422
3.886	1	11	389	7	12	28	9422
3.887	1	11	389	8	12	28	9422
3.888	1	11	389	9	12	28	9422
3.889	1	11	389	10	12	28	9422
3.89	1	11	390	1	12	28	9422
3.891	1	11	390	2	12	28	9422
3.892	1	11	390	3	12	28	9422
3.893	1	11	390	4	12	28	9422
3.894	1	4	390	5	13	28	4587
3.894	1	11	390	5	12	28	4587
3.895	1	4	390	6	13	28	9422
3.896	1	4	390	7	13	28	9422
3.897	1	4	390	8	13	28	9422
3.898	1	4	390	9	13	28	9422
3.899	1	4	390	10	13	28	9422
3.9	1	5	391	1	4	28	9422
3.901	1	5	391	2	4	28	9422
3.902	1	5	391	3	4	28	9422
3.903	1	5	391	4	4	28	9422
3.904	1	5	391	5	4	28	9422
3.905	1	12	391	6	14	28	9422
3.906	1	12	391	7	14	28	9422
3.907	1	12	391	8	14	28	9422
3.908	1	12	391	9	14	28	9422
3.909	1	2	391	10	7	28	4587
3.909	1	12	391	10	14	28	4587
3.91	1	2	392	1	7	28	9422
3.911	1	2	392	2	7	28	9422
3.912	1	2	392	3	7	28	9422
3.913	1	2	392	4	7	28	9422
3.914	1	15	392	5	5	28	4587
3.914	1	2	392	5	7	28	4587
3.915	1	15	392	6	5	28	9422
3.916	1	15	392	7	5	28	9422
3.917	1	15	392	8	5	28	9422
3.918	1	15	392	9	5	28	9422
3.919	1	14	392	10	15	28	9422
3.92	1	14	393	1	15	28	9422
3.921	1	14	393	2	15	28	9422
3.922	1	14	393	3	15	28	9422
3.923	1	1	393	4	10	28	4587
3.923	1	14	393	4	15	28	4587
3.924	1	1	393	5	10	28	9422
3.925	1	1	393	6	10	28	9422
3.926	1	1	393	7	10	28	9422
3.927	1	7	393	8	1	28	4587
3.927	1	1	393	8	10	28	4587
3.928	1	7	393	9	1	28	9422
3.929	1	7	393	10	1	28	9422
3.93	1	7	394	1	1	28	9422
3.931	1	7	394	2	1	28	9422
3.932	1	8	394	3	11	28	9422
3.933	1	8	394	4	11	28	9422
3.934	1	8	394	5	11	28	9422
3.935	1	8	394	6	11	28	9422
3.936	1	9	394	7	6	28	4587
3.936	1	8	394	7	11	28	4587
3.937	1	9	394	8	6	28	9422
3.938	1	9	394	9	6	28	9422
3.939	1	9	394	10	6	28	9422
3.94	1	9	395	1	6	28	9422
3.941	1	3	395	2	2	28	9422
3.942	1	3	395	3	2	28	9422
3.943	1	3	395	4	2	28	9422
3.944	1	3	395	5	2	28	9422
3.945	1	3	395	6	2	28	9422
3.946	1	3	395	7	2	28	9422
3.947	1	3	395	8	2	28	9422
3.948	1	3	395	9	2	28	9422
3.949	1	3	395	10	2	28	9422
3.95	1	10	396	1	8	28	9422
3.951	1	10	396	2	8	28	9422
3.952	1	10	396	3	8	28	9422
3.953	1	10	396	4	8	28	9422
3.954	1	10	396	5	8	28	9422
3.955	1	10	396	6	8	28	9422
3.956	1	10	396	7	8	28	9422
3.957	1	10	396	8	8	28	9422
3.958	1	10	396	9	8	28	9422
3.959	1	2	396	10	7	28	4587
3.959	1	10	396	10	8	28	4587
3.96	1	2	397	1	7	28	9422
3.961	1	2	397	2	7	28	9422
3.962	1	2	397	3	7	28	9422
3.963	1	2	397	4	7	28	9422
3.964	1	2	397	5	7	28	9422
3.965	1	2	397	6	7	28	9422
3.966	1	2	397	7	7	28	9422
3.967	1	2	397	8	7	28	9422
3.968	1	12	397	9	14	28	4587
3.968	1	2	397	9	7	28	4587
3.969	1	12	397	10	14	28	9422
3.97	1	12	398	1	14	28	9422
3.971	1	12	398	2	14	28	9422
3.972	1	12	398	3	14	28	9422
3.973	1	12	398	4	14	28	9422
