% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
2.023	1	2	203	4	3	20	2385	0	0	48
2.023	1	1	203	4	2	10	935	0	0	47
2.024	1	1	203	5	2	10	935	0	0	47
2.024	1	2	203	5	3	20	2385	0	0	48
2.025	1	1	203	6	2	10	935	0	0	47
2.025	1	2	203	6	3	20	2385	0	0	48
2.026	1	2	203	7	3	20	2385	0	0	48
2.026	1	1	203	7	2	10	935	0	0	47
2.027	1	1	203	8	2	10	935	0	0	47
2.027	1	2	203	8	3	25	3422	0	0	47
2.028	1	1	203	9	2	10	935	0	0	47
2.028	1	2	203	9	3	25	3422	0	0	47
2.029	1	2	203	10	3	25	3422	0	0	47
2.029	1	1	203	10	2	10	935	0	0	47
2.03	1	1	204	1	2	10	1980	0	0	99
2.031	1	1	204	2	2	10	1980	0	0	99
2.032	1	1	204	3	2	10	1980	0	0	99
2.033	1	1	204	4	2	15	3542	0	0	97
2.034	1	1	204	5	2	15	3542	0	0	97
2.035	1	1	204	6	2	15	3542	0	0	97
2.036	1	1	204	7	2	15	3542	0	0	97
2.037	1	1	204	8	2	15	3542	0	0	97
2.038	1	1	204	9	2	15	3542	0	0	97
2.039	1	1	204	10	2	15	3542	0	0	97
2.04	1	1	205	1	2	15	3542	0	0	97
2.041	1	1	205	2	2	15	3542	0	0	97
2.042	1	1	205	3	2	15	3542	0	0	97
2.043	1	3	205	4	1	5	533	0	0	48
2.043	1	1	205	4	2	10	935	0	0	47
2.044	1	3	205	5	1	5	533	0	0	48
2.044	1	1	205	5	2	10	935	0	0	47
2.045	1	1	205	6	2	10	935	0	0	47
2.045	1	3	205	6	1	5	533	0	0	48
2.046	1	3	205	7	1	5	533	0	0	48
2.046	1	1	205	7	2	10	935	0	0	47
2.047	1	3	205	8	1	5	1095	0	0	98
2.048	1	3	205	9	1	1	453	0	0	98
2.049	1	3	205	10	1	1	453	0	0	98
2.05	1	3	206	1	1	1	453	0	0	98
2.051	1	3	206	2	1	1	453	0	0	98
2.052	1	3	206	3	1	1	453	0	0	98
2.053	1	3	206	4	1	5	1095	0	0	98
2.054	1	3	206	5	1	5	1095	0	0	98
2.055	1	3	206	6	1	5	1095	0	0	98
2.056	1	3	206	7	1	5	1095	0	0	98
2.057	1	3	206	8	1	5	1095	0	0	98
2.058	1	3	206	9	1	1	453	0	0	98
2.059	1	3	206	10	1	1	453	0	0	98
2.06	1	3	207	1	1	1	453	0	0	98
2.061	1	3	207	2	1	1	453	0	0	98
2.062	1	3	207	3	1	1	453	0	0	98
2.063	1	3	207	4	1	5	1095	0	0	98
2.064	1	3	207	5	1	5	1095	0	0	98
2.065	1	3	207	6	1	5	1095	0	0	98
2.066	1	3	207	7	1	5	1095	0	0	98
2.067	1	3	207	8	1	5	1095	0	0	98
2.068	1	3	207	9	1	5	1095	0	0	98
2.069	1	3	207	10	1	5	1095	0	0	98
2.07	1	3	208	1	1	5	1095	0	0	98
2.071	1	3	208	2	1	5	1095	0	0	98
2.072	1	3	208	3	1	5	1095	0	0	98
2.073	1	3	208	4	1	1	453	0	0	98
2.074	1	3	208	5	1	1	453	0	0	98
2.075	1	3	208	6	1	1	453	0	0	98
2.076	1	3	208	7	1	1	453	0	0	98
2.077	1	3	208	8	1	1	453	0	0	98
2.078	1	3	208	9	1	5	1095	0	0	98
2.079	1	3	208	10	1	1	453	0	0	98
2.08	1	3	209	1	1	1	453	0	0	98
2.081	1	3	209	2	1	1	453	0	0	98
2.082	1	3	209	3	1	1	453	0	0	98
2.083	1	3	209	4	1	1	453	0	0	98
2.084	1	3	209	5	1	1	453	0	0	98
2.085	1	3	209	6	1	1	453	0	0	98
2.086	1	3	209	7	1	1	453	0	0	98
2.087	1	3	209	8	1	1	453	0	0	98
2.088	1	3	209	9	1	1	453	0	0	98
2.089	1	3	209	10	1	5	1095	0	0	98
2.09	1	3	210	1	1	5	1095	0	0	98
2.091	1	3	210	2	1	5	1095	0	0	98
2.092	1	3	210	3	1	5	1095	0	0	98
2.093	1	3	210	4	1	5	1095	0	0	98
2.094	1	3	210	5	1	1	453	0	0	98
2.095	1	3	210	6	1	1	453	0	0	98
2.096	1	3	210	7	1	1	453	0	0	98
2.097	1	3	210	8	1	1	453	0	0	98
2.098	1	3	210	9	1	1	453	0	0	98
2.099	1	3	210	10	1	5	1095	0	0	98
2.1	1	3	211	1	1	5	1095	0	0	98
2.101	1	3	211	2	1	5	1095	0	0	98
2.102	1	3	211	3	1	5	1095	0	0	98
2.103	1	3	211	4	1	5	1095	0	0	98
2.104	1	3	211	5	1	1	453	0	0	98
2.105	1	3	211	6	1	1	453	0	0	98
2.106	1	3	211	7	1	1	453	0	0	98
2.107	1	3	211	8	1	1	453	0	0	98
2.108	1	3	211	9	1	1	453	0	0	98
2.109	1	2	211	10	3	25	3422	0	0	47
2.109	1	3	211	10	1	5	533	0	0	48
2.11	1	2	212	1	3	25	3422	0	0	47
2.11	1	3	212	1	1	5	533	0	0	48
2.111	1	3	212	2	1	5	533	0	0	48
2.111	1	2	212	2	3	25	3422	0	0	47
2.112	1	2	212	3	3	25	3422	0	0	47
2.112	1	3	212	3	1	5	533	0	0	48
2.113	1	2	212	4	3	25	2292	0	0	32
2.113	1	3	212	4	1	5	349	0	0	32
2.113	1	1	212	4	2	10	645	0	0	32
2.114	1	3	212	5	1	5	349	0	0	32
2.114	1	1	212	5	2	10	645	0	0	32
2.114	1	2	212	5	3	25	2292	0	0	32
2.115	1	1	212	6	2	10	645	0	0	32
2.115	1	2	212	6	3	20	1572	0	0	32
2.115	1	3	212	6	1	5	349	0	0	32
2.116	1	2	212	7	3	20	1572	0	0	32
2.116	1	3	212	7	1	5	349	0	0	32
2.116	1	1	212	7	2	15	1143	0	0	32
2.117	1	3	212	8	1	5	349	0	0	32
2.117	1	1	212	8	2	15	1143	0	0	32
2.117	1	2	212	8	3	20	1572	0	0	32
2.118	1	1	212	9	2	15	1143	0	0	32
2.118	1	2	212	9	3	20	1572	0	0	32
2.118	1	3	212	9	1	5	349	0	0	32
2.119	1	2	212	10	3	20	1572	0	0	32
2.119	1	3	212	10	1	1	145	0	0	32
2.119	1	1	212	10	2	15	1143	0	0	32
2.12	1	3	213	1	1	1	145	0	0	32
2.12	1	1	213	1	2	15	1143	0	0	32
2.12	1	2	213	1	3	20	1572	0	0	32
2.121	1	1	213	2	2	10	645	0	0	32
2.121	1	2	213	2	3	20	1572	0	0	32
2.121	1	3	213	2	1	1	145	0	0	32
2.122	1	2	213	3	3	20	1572	0	0	32
2.122	1	3	213	3	1	1	145	0	0	32
2.122	1	1	213	3	2	10	645	0	0	32
2.123	1	3	213	4	1	1	145	0	0	32
2.123	1	1	213	4	2	10	645	0	0	32
2.123	1	2	213	4	3	20	1572	0	0	32
2.124	1	1	213	5	2	10	645	0	0	32
2.124	1	2	213	5	3	20	1572	0	0	32
2.124	1	3	213	5	1	5	349	0	0	32
2.125	1	2	213	6	3	25	2292	0	0	32
2.125	1	3	213	6	1	1	145	0	0	32
2.125	1	1	213	6	2	10	645	0	0	32
2.126	1	3	213	7	1	1	145	0	0	32
2.126	1	1	213	7	2	10	645	0	0	32
2.126	1	2	213	7	3	25	2292	0	0	32
2.127	1	1	213	8	2	10	645	0	0	32
2.127	1	2	213	8	3	25	2292	0	0	32
2.127	1	3	213	8	1	1	145	0	0	32
2.128	1	2	213	9	3	25	2292	0	0	32
2.128	1	3	213	9	1	1	145	0	0	32
2.128	1	1	213	9	2	10	645	0	0	32
2.129	1	3	213	10	1	1	145	0	0	32
2.129	1	1	213	10	2	10	645	0	0	32
2.129	1	2	213	10	3	25	2292	0	0	32
2.13	1	1	214	1	2	10	645	0	0	32
2.13	1	2	214	1	3	20	1572	0	0	32
2.13	1	3	214	1	1	1	145	0	0	32
2.131	1	2	214	2	3	20	1572	0	0	32
2.131	1	3	214	2	1	1	145	0	0	32
2.131	1	1	214	2	2	15	1143	0	0	32
2.132	1	3	214	3	1	1	145	0	0	32
2.132	1	1	214	3	2	15	1143	0	0	32
2.132	1	2	214	3	3	20	1572	0	0	32
2.133	1	1	214	4	2	15	1143	0	0	32
2.133	1	2	214	4	3	20	1572	0	0	32
2.133	1	3	214	4	1	1	145	0	0	32
2.134	1	2	214	5	3	20	1572	0	0	32
2.134	1	3	214	5	1	1	145	0	0	32
2.134	1	1	214	5	2	15	1143	0	0	32
2.135	1	3	214	6	1	5	349	0	0	32
2.135	1	1	214	6	2	15	1143	0	0	32
2.135	1	2	214	6	3	25	2292	0	0	32
2.136	1	1	214	7	2	10	645	0	0	32
2.136	1	2	214	7	3	25	2292	0	0	32
2.136	1	3	214	7	1	5	349	0	0	32
2.137	1	2	214	8	3	25	2292	0	0	32
2.137	1	3	214	8	1	5	349	0	0	32
2.137	1	1	214	8	2	10	645	0	0	32
2.138	1	3	214	9	1	5	349	0	0	32
2.138	1	1	214	9	2	10	645	0	0	32
2.138	1	2	214	9	3	25	2292	0	0	32
2.139	1	1	214	10	2	10	645	0	0	32
2.139	1	2	214	10	3	25	2292	0	0	32
2.139	1	3	214	10	1	5	349	0	0	32
2.14	1	2	215	1	3	20	1572	0	0	32
2.14	1	3	215	1	1	1	145	0	0	32
2.14	1	1	215	1	2	10	645	0	0	32
2.141	1	3	215	2	1	1	217	0	0	47
2.141	1	1	215	2	2	10	935	0	0	47
2.142	1	1	215	3	2	10	935	0	0	47
2.142	1	3	215	3	1	1	217	0	0	47
2.143	1	3	215	4	1	1	217	0	0	47
2.143	1	1	215	4	2	10	935	0	0	47
2.144	1	3	215	5	1	1	217	0	0	47
2.144	1	1	215	5	2	10	935	0	0	47
2.145	1	1	215	6	2	10	935	0	0	47
2.145	1	3	215	6	1	5	533	0	0	48
2.146	1	3	215	7	1	5	533	0	0	48
2.146	1	1	215	7	2	10	935	0	0	47
2.147	1	3	215	8	1	5	533	0	0	48
2.147	1	1	215	8	2	10	935	0	0	47
2.148	1	1	215	9	2	10	935	0	0	47
2.148	1	3	215	9	1	5	533	0	0	48
2.149	1	3	215	10	1	5	533	0	0	48
2.149	1	1	215	10	2	10	935	0	0	47
2.15	1	3	216	1	1	1	217	0	0	47
2.15	1	1	216	1	2	10	935	0	0	47
2.151	1	1	216	2	2	15	1692	0	0	47
2.151	1	3	216	2	1	1	217	0	0	47
2.152	1	3	216	3	1	1	217	0	0	47
2.152	1	1	216	3	2	15	1692	0	0	47
2.153	1	3	216	4	1	1	217	0	0	47
2.153	1	1	216	4	2	15	1692	0	0	47
2.154	1	1	216	5	2	15	1692	0	0	47
2.154	1	3	216	5	1	1	217	0	0	47
2.155	1	3	216	6	1	5	533	0	0	48
2.155	1	1	216	6	2	15	1692	0	0	47
2.156	1	3	216	7	1	5	533	0	0	48
2.156	1	1	216	7	2	15	1692	0	0	47
2.157	1	1	216	8	2	15	1692	0	0	47
2.157	1	3	216	8	1	5	533	0	0	48
2.158	1	3	216	9	1	5	533	0	0	48
2.158	1	1	216	9	2	15	1692	0	0	47
2.159	1	3	216	10	1	5	533	0	0	48
2.159	1	1	216	10	2	15	1692	0	0	47
2.16	1	1	217	1	2	15	1692	0	0	47
2.16	1	3	217	1	1	5	533	0	0	48
2.161	1	3	217	2	1	5	533	0	0	48
2.161	1	1	217	2	2	10	935	0	0	47
2.162	1	3	217	3	1	5	533	0	0	48
2.162	1	1	217	3	2	10	935	0	0	47
2.163	1	1	217	4	2	10	935	0	0	47
2.163	1	3	217	4	1	5	533	0	0	48
2.164	1	3	217	5	1	5	533	0	0	48
2.164	1	1	217	5	2	10	935	0	0	47
2.165	1	3	217	6	1	1	217	0	0	47
2.165	1	1	217	6	2	10	935	0	0	47
2.166	1	1	217	7	2	15	1692	0	0	47
2.166	1	3	217	7	1	1	217	0	0	47
2.167	1	3	217	8	1	1	217	0	0	47
